S,pC,pD,i,s,t,Time
23.3352788317505,50.0,0.0,14,b1,2,2020-01-01 01:10
25.0,50.0,0.0,14,b1,3,2020-01-01 01:10
21.6794546036733,0.0,39.821533290261,14,b1,4,2020-01-01 01:10
21.6776471538922,0.0,0.0,14,b1,5,2020-01-01 01:10
21.675839854801,0.0,0.0,14,b1,6,2020-01-01 01:10
21.6740327063871,0.0,0.0,14,b1,7,2020-01-01 01:10
21.672225708638,0.0,0.0,14,b1,8,2020-01-01 01:10
21.6704188615411,0.0,0.0,14,b1,9,2020-01-01 01:10
23.3352788317505,50.0,0.0,14,b1,10,2020-01-01 01:10
25.0,49.9999999999999,0.0,14,b1,11,2020-01-01 01:10
0.0,-0.0,0.0,15,f1,0,2020-01-01 01:15
3.95833333333333,50.0,0.0,15,f1,1,2020-01-01 01:15
7.75170125914913,50.0,0.0,15,f1,2,2020-01-01 01:15
0.0,0.0,89.1437454627907,15,f1,3,2020-01-01 01:15
0.0,0.0,0.0,15,f1,4,2020-01-01 01:15
0.0,-0.0,0.0,15,f1,5,2020-01-01 01:15
0.0,-0.0,0.0,15,f1,6,2020-01-01 01:15
0.0,-0.0,0.0,15,f1,7,2020-01-01 01:15
0.0,-0.0,0.0,15,f1,8,2020-01-01 01:15
0.0,-0.0,0.0,15,f1,9,2020-01-01 01:15
1.08696650826512,13.7301032622962,0.0,15,f1,10,2020-01-01 01:15
5.0,50.0,0.0,15,f1,11,2020-01-01 01:15
21.6704188615411,0.0,0.0,15,b1,0,2020-01-01 01:15
23.3352788317505,50.0,0.0,15,b1,1,2020-01-01 01:15
25.0,50.0,0.0,15,b1,2,2020-01-01 01:15
20.0137615786356,0.0,59.8098495907139,15,b1,3,2020-01-01 01:15
20.0120930002675,0.0,0.0,15,b1,4,2020-01-01 01:15
20.0104245610113,0.0,0.0,15,b1,5,2020-01-01 01:15
20.0087562608555,0.0,0.0,15,b1,6,2020-01-01 01:15
20.0070880997885,0.0,0.0,15,b1,7,2020-01-01 01:15
20.0054200777987,0.0,0.0,15,b1,8,2020-01-01 01:15
21.6704188615411,50.0,0.0,15,b1,9,2020-01-01 01:15
23.3352788317505,50.0,0.0,15,b1,10,2020-01-01 01:15
25.0,49.9999999999999,0.0,15,b1,11,2020-01-01 01:15
3.95833333333333,50.0,0.0,16,f1,0,2020-01-01 01:20
7.75170125914913,50.0,0.0,16,f1,1,2020-01-01 01:20
0.0,0.0,89.1437454627907,16,f1,2,2020-01-01 01:20
0.0,0.0,0.0,16,f1,3,2020-01-01 01:20
0.0,-0.0,0.0,16,f1,4,2020-01-01 01:20
0.0,-0.0,0.0,16,f1,5,2020-01-01 01:20
0.0,-0.0,0.0,16,f1,6,2020-01-01 01:20
0.0,-0.0,0.0,16,f1,7,2020-01-01 01:20
0.0,-0.0,0.0,16,f1,8,2020-01-01 01:20
0.0,-0.0,0.0,16,f1,9,2020-01-01 01:20
1.08696650826512,13.7301032622962,0.0,16,f1,10,2020-01-01 01:20
5.0,50.0,0.0,16,f1,11,2020-01-01 01:20
23.3352788317505,50.0000000000001,0.0,16,b1,0,2020-01-01 01:20
25.0,50.0,0.0,16,b1,1,2020-01-01 01:20
18.347929670606,0.0,79.7998324870692,16,b1,2,2020-01-01 01:20
18.3463999752297,0.0,0.0,16,b1,3,2020-01-01 01:20
18.3448704073866,0.0,0.0,16,b1,4,2020-01-01 01:20
18.3433409670658,0.0,0.0,16,b1,5,2020-01-01 01:20
18.3418116542569,0.0,0.0,16,b1,6,2020-01-01 01:20
18.3402824689492,0.0,0.0,16,b1,7,2020-01-01 01:20
20.0054200777987,50.0,0.0,16,b1,8,2020-01-01 01:20
21.6704188615411,50.0,0.0,16,b1,9,2020-01-01 01:20
23.3352788317505,50.0,0.0,16,b1,10,2020-01-01 01:20
25.0,49.9999999999999,0.0,16,b1,11,2020-01-01 01:20
7.75170125914913,50.0,0.0,17,f1,0,2020-01-01 01:25
