S,p_ch,p_dc,i,s,t,Time
20.0802004007011,0.0,5.0,7,b1,8,2020-01-01 00:35
20.0601202003004,0.0,0.0,7,b1,9,2020-01-01 00:35
20.0400600801001,0.0,0.0,7,b1,10,2020-01-01 00:35
20.02002002002,0.0,0.0,7,b1,11,2020-01-01 00:35
20.0,0.0,0.0,7,b1,12,2020-01-01 00:35
1.01010101010102,0.0,0.0,7,f1,1,2020-01-01 00:35
1.00000000000001,0.0,0.0,7,f1,2,2020-01-01 00:35
1.0,0.126315789978841,0.0,7,f1,3,2020-01-01 00:35
1.0,0.126315789978947,0.0,7,f1,4,2020-01-01 00:35
1.03047096291301,0.511212165156593,0.0,7,f1,5,2020-01-01 00:35
1.01010101010101,0.0,0.120782918677603,7,f1,6,2020-01-01 00:35
1.0,0.0,0.0,7,f1,7,2020-01-01 00:35
1.0,0.126315789978948,0.0,7,f1,8,2020-01-01 00:35
1.0,0.126315789978948,0.0,7,f1,9,2020-01-01 00:35
1.21309608300562,2.81805579660641,0.0,7,f1,10,2020-01-01 00:35
2.21572786868119,12.8180557966064,0.0,7,f1,11,2020-01-01 00:35
4.0,22.8180557966064,0.0,7,f1,12,2020-01-01 00:35
23.5292792263059,0.0,0.0,8,b1,1,2020-01-01 00:40
23.5057499470796,0.0,0.0,8,b1,2,2020-01-01 00:40
23.4822441971326,0.0,0.0,8,b1,3,2020-01-01 00:40
23.0420952879354,0.0,5.0,8,b1,4,2020-01-01 00:40
21.7690531976475,0.0,15.0,8,b1,5,2020-01-01 00:40
20.4972841494499,0.0,15.0,8,b1,6,2020-01-01 00:40
20.0601202003004,0.0,5.0,8,b1,7,2020-01-01 00:40
20.0400600801001,0.0,0.0,8,b1,8,2020-01-01 00:40
20.02002002002,0.0,0.0,8,b1,9,2020-01-01 00:40
20.0,0.0,0.0,8,b1,10,2020-01-01 00:40
19.98,0.0,0.0,8,b1,11,2020-01-01 00:40
20.0,0.505010528335892,0.0,8,b1,12,2020-01-01 00:40
1.0,-1.23270849172513e-13,0.0,8,f1,1,2020-01-01 00:40
1.0,0.126315789978948,0.0,8,f1,2,2020-01-01 00:40
1.0,0.126315789978947,0.0,8,f1,3,2020-01-01 00:40
1.02030405060708,0.382788009199547,0.0,8,f1,4,2020-01-01 00:40
1.01010101010101,0.0,0.0,8,f1,5,2020-01-01 00:40
1.0,0.0,0.0,8,f1,6,2020-01-01 00:40
1.0,0.126315789978948,0.0,8,f1,7,2020-01-01 00:40
1.0,0.126315789978948,0.0,8,f1,8,2020-01-01 00:40
1.0,0.126315789978948,0.0,8,f1,9,2020-01-01 00:40
1.21309608300562,2.81805579660641,0.0,8,f1,10,2020-01-01 00:40
2.21572786868119,12.8180557966064,0.0,8,f1,11,2020-01-01 00:40
4.0,22.8180557966064,0.0,8,f1,12,2020-01-01 00:40
23.5057499470796,0.0,0.0,9,b1,1,2020-01-01 00:45
23.4822441971325,0.0,0.0,9,b1,2,2020-01-01 00:45
23.0420952879354,0.0,5.0,9,b1,3,2020-01-01 00:45
21.7690531976475,0.0,15.0,9,b1,4,2020-01-01 00:45
20.4972841494498,0.0,15.0,9,b1,5,2020-01-01 00:45
20.0601202003004,0.0,5.0,9,b1,6,2020-01-01 00:45
20.0400600801001,0.0,0.0,9,b1,7,2020-01-01 00:45
20.02002002002,0.0,0.0,9,b1,8,2020-01-01 00:45
20.0,0.0,0.0,9,b1,9,2020-01-01 00:45
19.98,0.0,0.0,9,b1,10,2020-01-01 00:45
19.96002,0.0,0.0,9,b1,11,2020-01-01 00:45
20.0,0.757137097765898,0.0,9,b1,12,2020-01-01 00:45
1.0,0.126315789978948,0.0,9,f1,1,2020-01-01 00:45
1.0,0.126315789978949,0.0,9,f1,2,2020-01-01 00:45
1.02030405060708,0.382788009199547,0.0,9,f1,3,2020-01-01 00:45
1.01010101010101,0.0,0.0,9,f1,4,2020-01-01 00:45
1.0,0.0,0.0,9,f1,5,2020-01-01 00:45
1.0,0.126315789978947,0.0,9,f1,6,2020-01-01 00:45
1.0,0.126315789978947,0.0,9,f1,7,2020-01-01 00:45
1.0,0.126315789978948,0.0,9,f1,8,2020-01-01 00:45
1.0,0.126315789978949,0.0,9,f1,9,2020-01-01 00:45
1.21309608300562,2.81805579660641,0.0,9,f1,10,2020-01-01 00:45
2.21572786868119,12.8180557966064,0.0,9,f1,11,2020-01-01 00:45
4.0,22.8180557966064,0.0,9,f1,12,2020-01-01 00:45
23.4822441971325,0.0,0.0,10,b1,1,2020-01-01 00:50
23.0420952879354,0.0,5.0,10,b1,2,2020-01-01 00:50
21.7690531976475,0.0,15.0,10,b1,3,2020-01-01 00:50
20.4972841494498,0.0,15.0,10,b1,4,2020-01-01 00:50
20.0601202003004,0.0,5.0,10,b1,5,2020-01-01 00:50
20.0400600801001,0.0,0.0,10,b1,6,2020-01-01 00:50
20.02002002002,0.0,0.0,10,b1,7,2020-01-01 00:50
20.0,0.0,0.0,10,b1,8,2020-01-01 00:50
