p_gen,i,g,t,Time
35.0,16,g1,10,2020-01-01 01:20
15.0,16,g1,11,2020-01-01 01:20
35.0,16,g1,12,2020-01-01 01:20
10.1263157899789,17,g1,1,2020-01-01 01:25
10.1263157899789,17,g1,2,2020-01-01 01:25
10.1263157899789,17,g1,3,2020-01-01 01:25
10.1263157899789,17,g1,4,2020-01-01 01:25
10.126315789979,17,g1,5,2020-01-01 01:25
26.2567505717759,17,g1,6,2020-01-01 01:25
15.0,17,g1,7,2020-01-01 01:25
35.0,17,g1,8,2020-01-01 01:25
35.0,17,g1,9,2020-01-01 01:25
13.6464616098622,17,g1,10,2020-01-01 01:25
33.6464616098622,17,g1,11,2020-01-01 01:25
35.0,17,g1,12,2020-01-01 01:25
10.1263157899789,18,g1,1,2020-01-01 01:30
10.126315789979,18,g1,2,2020-01-01 01:30
10.1263157899789,18,g1,3,2020-01-01 01:30
10.1263157899789,18,g1,4,2020-01-01 01:30
15.8997034074592,18,g1,5,2020-01-01 01:30
15.0,18,g1,6,2020-01-01 01:30
35.0,18,g1,7,2020-01-01 01:30
35.0,18,g1,8,2020-01-01 01:30
10.1263157899789,18,g1,9,2020-01-01 01:30
22.8180557966064,18,g1,10,2020-01-01 01:30
35.0,18,g1,11,2020-01-01 01:30
35.0,18,g1,12,2020-01-01 01:30
10.1263157899789,19,g1,1,2020-01-01 01:35
10.1263157899789,19,g1,2,2020-01-01 01:35
10.1263157899789,19,g1,3,2020-01-01 01:35
10.1263157899789,19,g1,4,2020-01-01 01:35
15.0,19,g1,5,2020-01-01 01:35
35.0,19,g1,6,2020-01-01 01:35
35.0,19,g1,7,2020-01-01 01:35
10.1263157899789,19,g1,8,2020-01-01 01:35
13.1451046581117,19,g1,9,2020-01-01 01:35
25.8368446647391,19,g1,10,2020-01-01 01:35
35.0,19,g1,11,2020-01-01 01:35
35.0,19,g1,12,2020-01-01 01:35
10.1263157899789,20,g1,1,2020-01-01 01:40
10.1263157899789,20,g1,2,2020-01-01 01:40
10.1263157899789,20,g1,3,2020-01-01 01:40
15.0,20,g1,4,2020-01-01 01:40
35.0,20,g1,5,2020-01-01 01:40
35.0,20,g1,6,2020-01-01 01:40
10.1263157899789,20,g1,7,2020-01-01 01:40
10.1263157899789,20,g1,8,2020-01-01 01:40
13.2565216616579,20,g1,9,2020-01-01 01:40
25.9482616682854,20,g1,10,2020-01-01 01:40
35.0,20,g1,11,2020-01-01 01:40
35.0,20,g1,12,2020-01-01 01:40
10.1263157899789,21,g1,1,2020-01-01 01:45
10.1263157899789,21,g1,2,2020-01-01 01:45
15.0,21,g1,3,2020-01-01 01:45
35.0,21,g1,4,2020-01-01 01:45
35.0,21,g1,5,2020-01-01 01:45
10.1263157899789,21,g1,6,2020-01-01 01:45
10.1263157899789,21,g1,7,2020-01-01 01:45
10.126315789979,21,g1,8,2020-01-01 01:45
13.3678272482006,21,g1,9,2020-01-01 01:45
26.059567254828,21,g1,10,2020-01-01 01:45
35.0,21,g1,11,2020-01-01 01:45
35.0,21,g1,12,2020-01-01 01:45
10.1263157899789,22,g1,1,2020-01-01 01:50
15.0,22,g1,2,2020-01-01 01:50
35.0,22,g1,3,2020-01-01 01:50
35.0,22,g1,4,2020-01-01 01:50
10.1263157899789,22,g1,5,2020-01-01 01:50
10.1263157899789,22,g1,6,2020-01-01 01:50
10.1263157899789,22,g1,7,2020-01-01 01:50
10.1263157899789,22,g1,8,2020-01-01 01:50
13.4790215291566,22,g1,9,2020-01-01 01:50
26.1707615357841,22,g1,10,2020-01-01 01:50
35.0,22,g1,11,2020-01-01 01:50
35.0,22,g1,12,2020-01-01 01:50
5.38278800919954,23,g1,1,2020-01-01 01:55
35.0,23,g1,2,2020-01-01 01:55
35.0,23,g1,3,2020-01-01 01:55
5.12631578997895,23,g1,4,2020-01-01 01:55
10.1263157899789,23,g1,5,2020-01-01 01:55
10.1263157899789,23,g1,6,2020-01-01 01:55
10.1263157899789,23,g1,7,2020-01-01 01:55
10.6899275047418,23,g1,8,2020-01-01 01:55
20.6899275047418,23,g1,9,2020-01-01 01:55
33.3816675113693,23,g1,10,2020-01-01 01:55
35.0,23,g1,11,2020-01-01 01:55
35.0,23,g1,12,2020-01-01 01:55
35.0,24,g1,1,2020-01-01 02:00
35.0,24,g1,2,2020-01-01 02:00
5.12631578997893,24,g1,3,2020-01-01 02:00
10.1263157899789,24,g1,4,2020-01-01 02:00
10.1263157899789,24,g1,5,2020-01-01 02:00
10.1263157899789,24,g1,6,2020-01-01 02:00
10.1263157899789,24,g1,7,2020-01-01 02:00
10.7590225781714,24,g1,8,2020-01-01 02:00
20.7590225781714,24,g1,9,2020-01-01 02:00
33.4507625847989,24,g1,10,2020-01-01 02:00
35.0,24,g1,11,2020-01-01 02:00
35.0,24,g1,12,2020-01-01 02:00
35.0,25,g1,1,2020-01-01 02:05
5.12631578997894,25,g1,2,2020-01-01 02:05
10.1263157899789,25,g1,3,2020-01-01 02:05
10.1263157899789,25,g1,4,2020-01-01 02:05
10.126315789979,25,g1,5,2020-01-01 02:05
16.1216119175153,25,g1,6,2020-01-01 02:05
26.1216119175153,25,g1,7,2020-01-01 02:05
35.0,25,g1,8,2020-01-01 02:05
35.0,25,g1,9,2020-01-01 02:05
35.0,25,g1,10,2020-01-01 02:05
15.0,25,g1,11,2020-01-01 02:05
35.0,25,g1,12,2020-01-01 02:05
5.12631578997895,26,g1,1,2020-01-01 02:10
10.126315789979,26,g1,2,2020-01-01 02:10
10.1263157899789,26,g1,3,2020-01-01 02:10
13.0157729177471,26,g1,4,2020-01-01 02:10
23.0157729177471,26,g1,5,2020-01-01 02:10
33.0157729177471,26,g1,6,2020-01-01 02:10
35.0,26,g1,7,2020-01-01 02:10
35.0,26,g1,8,2020-01-01 02:10
35.0,26,g1,9,2020-01-01 02:10
15.0,26,g1,10,2020-01-01 02:10
35.0,26,g1,11,2020-01-01 02:10
35.0,26,g1,12,2020-01-01 02:10
10.1263157899789,27,g1,1,2020-01-01 02:15
10.1263157899789,27,g1,2,2020-01-01 02:15
11.535109869527,27,g1,3,2020-01-01 02:15
21.535109869527,27,g1,4,2020-01-01 02:15
31.535109869527,27,g1,5,2020-01-01 02:15
35.0,27,g1,6,2020-01-01 02:15
35.0,27,g1,7,2020-01-01 02:15
35.0,27,g1,8,2020-01-01 02:15
15.0,27,g1,9,2020-01-01 02:15
35.0,27,g1,10,2020-01-01 02:15
35.0,27,g1,11,2020-01-01 02:15
15.0,27,g1,12,2020-01-01 02:15
10.1263157899789,28,g1,1,2020-01-01 02:20
10.1263157899789,28,g1,2,2020-01-01 02:20
14.3912137524817,28,g1,3,2020-01-01 02:20
24.3912137524817,28,g1,4,2020-01-01 02:20
34.3912137524817,28,g1,5,2020-01-01 02:20
30.4251273943141,28,g1,6,2020-01-01 02:20
30.4251273943141,28,g1,7,2020-01-01 02:20
15.0,28,g1,8,2020-01-01 02:20
35.0,28,g1,9,2020-01-01 02:20
35.0,28,g1,10,2020-01-01 02:20
15.0,28,g1,11,2020-01-01 02:20
35.0,28,g1,12,2020-01-01 02:20
10.1263157899789,29,g1,1,2020-01-01 02:25
10.1263157899789,29,g1,2,2020-01-01 02:25
14.9892040008448,29,g1,3,2020-01-01 02:25
24.9892040008448,29,g1,4,2020-01-01 02:25
30.1263157899789,29,g1,5,2020-01-01 02:25
28.6238388321918,29,g1,6,2020-01-01 02:25
15.0,29,g1,7,2020-01-01 02:25
35.0,29,g1,8,2020-01-01 02:25
35.0,29,g1,9,2020-01-01 02:25
15.0,29,g1,10,2020-01-01 02:25
35.0,29,g1,11,2020-01-01 02:25
35.0,29,g1,12,2020-01-01 02:25
10.1263157899789,30,g1,1,2020-01-01 02:30
10.1263157899789,30,g1,2,2020-01-01 02:30
11.2144069024687,30,g1,3,2020-01-01 02:30
21.9268012255698,30,g1,4,2020-01-01 02:30
30.83871011308,30,g1,5,2020-01-01 02:30
15.0,30,g1,6,2020-01-01 02:30
35.0,30,g1,7,2020-01-01 02:30
35.0,30,g1,8,2020-01-01 02:30
15.0,30,g1,9,2020-01-01 02:30
35.0,30,g1,10,2020-01-01 02:30
35.0,30,g1,11,2020-01-01 02:30
35.0,30,g1,12,2020-01-01 02:30
10.1263157899789,31,g1,1,2020-01-01 02:35
10.1263157899789,31,g1,2,2020-01-01 02:35
10.36439107535,31,g1,3,2020-01-01 02:35
30.36439107535,31,g1,4,2020-01-01 02:35
15.0,31,g1,5,2020-01-01 02:35
35.0,31,g1,6,2020-01-01 02:35
35.0,31,g1,7,2020-01-01 02:35
14.1299327500541,31,g1,8,2020-01-01 02:35
24.1299327500541,31,g1,9,2020-01-01 02:35
35.0,31,g1,10,2020-01-01 02:35
35.0,31,g1,11,2020-01-01 02:35
35.0,31,g1,12,2020-01-01 02:35
10.1263157899789,32,g1,1,2020-01-01 02:40
10.1263157899789,32,g1,2,2020-01-01 02:40
16.8878190895029,32,g1,3,2020-01-01 02:40
15.0,32,g1,4,2020-01-01 02:40
35.0,32,g1,5,2020-01-01 02:40
35.0,32,g1,6,2020-01-01 02:40
10.7080246840769,32,g1,7,2020-01-01 02:40
20.7080246840769,32,g1,8,2020-01-01 02:40
30.7080246840769,32,g1,9,2020-01-01 02:40
35.0,32,g1,10,2020-01-01 02:40
35.0,32,g1,11,2020-01-01 02:40
35.0,32,g1,12,2020-01-01 02:40
10.1263157899789,33,g1,1,2020-01-01 02:45
10.1263157899789,33,g1,2,2020-01-01 02:45
15.0,33,g1,3,2020-01-01 02:45
35.0,33,g1,4,2020-01-01 02:45
35.0,33,g1,5,2020-01-01 02:45
10.1263157899789,33,g1,6,2020-01-01 02:45
13.0282197245579,33,g1,7,2020-01-01 02:45
23.0282197245579,33,g1,8,2020-01-01 02:45
33.0282197245579,33,g1,9,2020-01-01 02:45
35.0,33,g1,10,2020-01-01 02:45
35.0,33,g1,11,2020-01-01 02:45
35.0,33,g1,12,2020-01-01 02:45
10.1263157899789,34,g1,1,2020-01-01 02:50
15.0,34,g1,2,2020-01-01 02:50
35.0,34,g1,3,2020-01-01 02:50
35.0,34,g1,4,2020-01-01 02:50
10.1263157899789,34,g1,5,2020-01-01 02:50
10.1263157899789,34,g1,6,2020-01-01 02:50
13.0876474617643,34,g1,7,2020-01-01 02:50
23.0876474617643,34,g1,8,2020-01-01 02:50
33.0876474617643,34,g1,9,2020-01-01 02:50
35.0,34,g1,10,2020-01-01 02:50
35.0,34,g1,11,2020-01-01 02:50
35.0,34,g1,12,2020-01-01 02:50
15.0,35,g1,1,2020-01-01 02:55
35.0,35,g1,2,2020-01-01 02:55
35.0,35,g1,3,2020-01-01 02:55
10.1263157899789,35,g1,4,2020-01-01 02:55
10.1263157899789,35,g1,5,2020-01-01 02:55
10.126315789979,35,g1,6,2020-01-01 02:55
13.1470157712338,35,g1,7,2020-01-01 02:55
23.1470157712338,35,g1,8,2020-01-01 02:55
33.1470157712338,35,g1,9,2020-01-01 02:55
35.0,35,g1,10,2020-01-01 02:55
35.0,35,g1,11,2020-01-01 02:55
35.0,35,g1,12,2020-01-01 02:55
35.0,36,g1,1,2020-01-01 03:00
35.0,36,g1,2,2020-01-01 03:00
10.1263157899789,36,g1,3,2020-01-01 03:00
10.1263157899789,36,g1,4,2020-01-01 03:00
10.126315789979,36,g1,5,2020-01-01 03:00
10.126315789979,36,g1,6,2020-01-01 03:00
13.2063247123939,36,g1,7,2020-01-01 03:00
23.2063247123939,36,g1,8,2020-01-01 03:00
33.2063247123939,36,g1,9,2020-01-01 03:00
35.0,36,g1,10,2020-01-01 03:00
35.0,36,g1,11,2020-01-01 03:00
35.0,36,g1,12,2020-01-01 03:00
35.0,37,g1,1,2020-01-01 03:05
10.1263157899789,37,g1,2,2020-01-01 03:05
10.126315789979,37,g1,3,2020-01-01 03:05
10.1263157899789,37,g1,4,2020-01-01 03:05
18.4674464337327,37,g1,5,2020-01-01 03:05
28.4674464337327,37,g1,6,2020-01-01 03:05
35.0,37,g1,7,2020-01-01 03:05
35.0,37,g1,8,2020-01-01 03:05
35.0,37,g1,9,2020-01-01 03:05
35.0,37,g1,10,2020-01-01 03:05
15.0,37,g1,11,2020-01-01 03:05
35.0,37,g1,12,2020-01-01 03:05
10.1263157899789,38,g1,1,2020-01-01 03:10
10.1263157899789,38,g1,2,2020-01-01 03:10
14.5860109619292,38,g1,3,2020-01-01 03:10
24.5860109619292,38,g1,4,2020-01-01 03:10
34.5860109619292,38,g1,5,2020-01-01 03:10
35.0,38,g1,6,2020-01-01 03:10
35.0,38,g1,7,2020-01-01 03:10
35.0,38,g1,8,2020-01-01 03:10
35.0,38,g1,9,2020-01-01 03:10
15.0,38,g1,10,2020-01-01 03:10
35.0,38,g1,11,2020-01-01 03:10
35.0,38,g1,12,2020-01-01 03:10
10.1263157899789,39,g1,1,2020-01-01 03:15
13.1038657685153,39,g1,2,2020-01-01 03:15
23.1038657685153,39,g1,3,2020-01-01 03:15
33.1038657685153,39,g1,4,2020-01-01 03:15
35.0,39,g1,5,2020-01-01 03:15
35.0,39,g1,6,2020-01-01 03:15
35.0,39,g1,7,2020-01-01 03:15
35.0,39,g1,8,2020-01-01 03:15
15.0,39,g1,9,2020-01-01 03:15
35.0,39,g1,10,2020-01-01 03:15
35.0,39,g1,11,2020-01-01 03:15
15.0,39,g1,12,2020-01-01 03:15
10.1263157899789,40,g1,1,2020-01-01 03:20
12.9206115392241,40,g1,2,2020-01-01 03:20
22.9206115392241,40,g1,3,2020-01-01 03:20
32.9206115392241,40,g1,4,2020-01-01 03:20
35.0,40,g1,5,2020-01-01 03:20
35.0,40,g1,6,2020-01-01 03:20
35.0,40,g1,7,2020-01-01 03:20
15.0,40,g1,8,2020-01-01 03:20
35.0,40,g1,9,2020-01-01 03:20
35.0,40,g1,10,2020-01-01 03:20
15.0,40,g1,11,2020-01-01 03:20
35.0,40,g1,12,2020-01-01 03:20
10.1263157899789,41,g1,1,2020-01-01 03:25
15.8524121450671,41,g1,2,2020-01-01 03:25
25.8524121450671,41,g1,3,2020-01-01 03:25
35.0,41,g1,4,2020-01-01 03:25
30.847237605496,41,g1,5,2020-01-01 03:25
30.847237605496,41,g1,6,2020-01-01 03:25
15.0,41,g1,7,2020-01-01 03:25
35.0,41,g1,8,2020-01-01 03:25
35.0,41,g1,9,2020-01-01 03:25
15.0,41,g1,10,2020-01-01 03:25
35.0,41,g1,11,2020-01-01 03:25
35.0,41,g1,12,2020-01-01 03:25
10.1263157899789,42,g1,1,2020-01-01 03:30
15.966265039382,42,g1,2,2020-01-01 03:30
25.966265039382,42,g1,3,2020-01-01 03:30
30.83871011308,42,g1,4,2020-01-01 03:30
30.83871011308,42,g1,5,2020-01-01 03:30
15.0,42,g1,6,2020-01-01 03:30
35.0,42,g1,7,2020-01-01 03:30
35.0,42,g1,8,2020-01-01 03:30
15.0,42,g1,9,2020-01-01 03:30
35.0,42,g1,10,2020-01-01 03:30
35.0,42,g1,11,2020-01-01 03:30
35.0,42,g1,12,2020-01-01 03:30
